raw_name,norm_basic,norm_alias,sources,mention_count,distillery_meta,country,region,type,age,abv,match_method_used
Arran Sauternes Cask Finish,arran sauternes cask finish,arran sauternes cask finish,data/books/yeni veriler/catalogue.csv,1,Lochranza (Isle of Arran Distillery) - Arran,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Arran Sherry Cask - The Bodega,arran sherry cask - the bodega,arran sherry cask the bodega,data/books/yeni veriler/catalogue.csv,1,Lochranza (Isle of Arran Distillery) - Arran,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Auchentoshan Blood Oak,auchentoshan blood oak,auchentoshan blood oak,data/books/yeni veriler/catalogue.csv,1,Auchentoshan,Scotland – Lowland,,SINGLE MALT,,,unmatched
Baker's 7 Y,baker's 7 y,baker s y,data/books/yeni veriler/catalogue.csv,1,Jim Beam Distillery - Jim Beam,USA,,BOURBON,,,unmatched
Ballantine's Glenburgie 15,ballantine's glenburgie 15,ballantine s glenburgie,data/books/yeni veriler/catalogue.csv,1,Glenburgie Distillery - Ballantine's,Scotland – Speyside,,SINGLE MALT,,,unmatched
Ballantine's Glentaucher 15,ballantine's glentaucher 15,ballantine s glentaucher,data/books/yeni veriler/catalogue.csv,1,Glentauchers,Scotland – Speyside,,SINGLE MALT,,,unmatched
Ballantine's Miltonduff 15,ballantine's miltonduff 15,ballantine s miltonduff,data/books/yeni veriler/catalogue.csv,1,Miltonduff - Ballantine's,Scotland – Speyside,,SINGLE MALT,,,unmatched
Ballyhoo 4,ballyhoo 4,ballyhoo,data/books/yeni veriler/catalogue.csv,1,"Connacht Whiskey Distillery, The - Connacht Whiskey",Ireland,,BLENDED WHISKY,,,unmatched
Balvenie 14 Caribbean Cask,balvenie 14 caribbean cask,balvenie caribbean cask,data/books/yeni veriler/catalogue.csv,1,Balvenie,Scotland – Speyside,,SINGLE MALT,,,unmatched
Balvenie 16 French Oak,balvenie 16 french oak,balvenie french oak,data/books/yeni veriler/catalogue.csv,1,Balvenie,Scotland – Speyside,,SINGLE MALT,,,unmatched
Bearface Elementally Aged,bearface elementally aged,bearface elementally aged,data/books/yeni veriler/catalogue.csv,1,Various Canadian spirits matured at Bearface – Canada,Canada,,SINGLE GRAIN,,,unmatched
Ben Bracken Highland Single Malt Blue,ben bracken highland single malt blue,ben bracken highland single malt blue,data/books/yeni veriler/catalogue.csv,1,An unknown Highland distillery,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Ben Bracken Speyside Single Malt Red,ben bracken speyside single malt red,ben bracken speyside single malt red,data/books/yeni veriler/catalogue.csv,1,An unknown distillery in the Speyside region,Scotland – Speyside,,SINGLE MALT,,,unmatched
Benriach 10 - The Smoky Ten,benriach 10 - the smoky ten,benriach the smoky ten,data/books/yeni veriler/catalogue.csv,1,Benriach Distillery - BenRiach,Scotland – Speyside,,SINGLE MALT,,,unmatched
BenRiach Peated Quarter Cask,benriach peated quarter cask,benriach peated quarter cask,data/books/yeni veriler/catalogue.csv,1,Benriach Distillery - BenRiach,Scotland – Speyside,,SINGLE MALT,,,unmatched
Benriach The Twelve,benriach the twelve,benriach the twelve,data/books/yeni veriler/catalogue.csv,1,Benriach Distillery - BenRiach,Scotland – Speyside,,SINGLE MALT,,,unmatched
Benromach Wood Finish Chateau Cissac,benromach wood finish chateau cissac,benromach wood finish chateau cissac,data/books/yeni veriler/catalogue.csv,1,Benromach Distillery - Benromach,Scotland – Speyside,,SINGLE MALT,,,unmatched
Black Bottle 10Y,black bottle 10y,black bottle 10y,data/books/yeni veriler/catalogue.csv,1,"blend – various regions, with a focus on Islay",Scotland,,BLENDED WHISKY,,,unmatched
Black Bull Peated,black bull peated,black bull peated,data/books/yeni veriler/catalogue.csv,1,Various distilleries,Scotland,,BLENDED WHISKY,,,unmatched
Blairmhor 8,blairmhor 8,blairmhor,data/books/yeni veriler/catalogue.csv,1,Various distilleries,Scotland,,BLENDED MALT,,,unmatched
Booker’s Bourbon Kentucky Straight Bourbon 2024-03,booker’s bourbon kentucky straight bourbon 2024-03,booker s bourbon kentucky straight bourbon 2024,data/books/yeni veriler/catalogue.csv,1,Jim Beam Distillery - Booker’s,USA,,BOURBON,,,unmatched
Buffalo Trace Kentucky Straight Bourbon Whiskey,buffalo trace kentucky straight bourbon whiskey,buffalo trace kentucky straight bourbon,data/books/yeni veriler/catalogue.csv,1,Buffalo Trace Distillery - Buffalo Trace,USA,,BOURBON,,,unmatched
Bulleit BN 45%,bulleit bn 45%,bulleit bn,data/books/yeni veriler/catalogue.csv,1,Bulleit Distilling Co - Bulleit,USA,,BOURBON,,,unmatched
"Bunnahabhain Fìon Canasta 51,2%","bunnahabhain fìon canasta 51,2%",bunnahabhain f on canasta,data/books/yeni veriler/catalogue.csv,1,Bunnahabhain,Scotland – Islay,,SINGLE MALT,,,unmatched
Bunnahabhain Stiùireadair,bunnahabhain stiùireadair,bunnahabhain sti ireadair,data/books/yeni veriler/catalogue.csv,1,Bunnahabhain,Scotland – Islay,,SINGLE MALT,,,unmatched
Bushmills 12 - Three Woods - 2024,bushmills 12 - three woods - 2024,bushmills three woods 2024,data/books/yeni veriler/catalogue.csv,1,Old Bushmills Distillery - Bushmills,Ireland,,SINGLE MALT,,,unmatched
Bushmills 12 Causeway Collection,bushmills 12 causeway collection,bushmills causeway collection,data/books/yeni veriler/catalogue.csv,1,Old Bushmills Distillery - Bushmills,Ireland,,SINGLE MALT,,,unmatched
Bushmills Caribbean Rum,bushmills caribbean rum,bushmills caribbean rum,data/books/yeni veriler/catalogue.csv,1,Various distilleries,Ireland,,BLENDED WHISKY,,,unmatched
Bushmills The Original,bushmills the original,bushmills the original,data/books/yeni veriler/catalogue.csv,1,Various distilleries,Ireland,,BLENDED WHISKY,,,unmatched
Canadian Club Original 1858,canadian club original 1858,canadian club original 1858,data/books/yeni veriler/catalogue.csv,1,Various distilled spirits – blended,Canada,,BLENDED WHISKY,,,unmatched
Cardhu Gold Reserve,cardhu gold reserve,cardhu gold,data/books/yeni veriler/catalogue.csv,1,Cardhu,Scotland – Speyside,,SINGLE MALT,,,unmatched
Cedar Ridge Iowa Bourbon Whiskey,cedar ridge iowa bourbon whiskey,cedar ridge iowa bourbon,data/books/yeni veriler/catalogue.csv,1,Cedar Ridge Distillery - Cedar Ridge,USA,,BOURBON,,,unmatched
Cedar Ridge Malted Rye Whiskey,cedar ridge malted rye whiskey,cedar ridge malted rye,data/books/yeni veriler/catalogue.csv,1,Cedar Ridge Distillery - Cedar Ridge,USA,,RYE WHISKY,,,unmatched
Chivas Regal 18 Gold Signature,chivas regal 18 gold signature,chivas regal gold signature,data/books/yeni veriler/catalogue.csv,1,Various spirits,Scotland,,BLENDED WHISKY,,,unmatched
Chivas Regal Extra,chivas regal extra,chivas regal extra,data/books/yeni veriler/catalogue.csv,1,Various spirits,Scotland,,BLENDED WHISKY,,,unmatched
Connemara Distillers Edition,connemara distillers edition,connemara distillers edition,data/books/yeni veriler/catalogue.csv,1,Cooley Distillery - Cooley,Ireland,,SINGLE MALT,,,unmatched
Connemara Original,connemara original,connemara original,data/books/yeni veriler/catalogue.csv,1,Cooley Distillery - Cooley,Ireland,,SINGLE MALT,,,unmatched
Cotswold Single Malt,cotswold single malt,cotswold,data/books/yeni veriler/catalogue.csv,1,Cotswolds Distillery - Cotswolds Whisky,England,,SINGLE MALT,,,unmatched
Cotswolds Peated Cask Single Malt,cotswolds peated cask single malt,cotswolds peated cask,data/books/yeni veriler/catalogue.csv,1,Cotswolds Distillery - Cotswolds Whisky,England,,SINGLE MALT,,,unmatched
Cragganmore The Distillers Edition 2023,cragganmore the distillers edition 2023,cragganmore the distillers edition 2023,data/books/yeni veriler/catalogue.csv,1,Cragganmore Distillery - Cragganmore,Scotland – Speyside,,SINGLE MALT,,,unmatched
Dalmore 12 Sherry Cask Select,dalmore 12 sherry cask select,dalmore sherry cask select,data/books/yeni veriler/catalogue.csv,1,Dalmore Distillery - Dalmore,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Darkness Tennessee Rye Whisky 5Y,darkness tennessee rye whisky 5y,darkness tennessee rye whisky 5y,data/books/yeni veriler/catalogue.csv,1,"No official data (most likely: Tennessee, USA)",USA,,RYE WHISKY,,,unmatched
Daviess County Straight Bourbon,daviess county straight bourbon,daviess county straight bourbon,data/books/yeni veriler/catalogue.csv,2,Most likely from Lux Row Distillers,USA,,BOURBON,,,unmatched
Daviess County Straight Bourbon Whiskey Finished in Cabernet Sauvignon Casks,daviess county straight bourbon whiskey finished in cabernet sauvignon casks,daviess county straight bourbon whiskey finished in cabernet sauvignon casks,data/books/yeni veriler/catalogue.csv,1,Most likely from Lux Row Distillers,USA,,BOURBON,,,unmatched
Dewar's 12 The Ancestor,dewar's 12 the ancestor,dewar s the ancestor,data/books/yeni veriler/catalogue.csv,1,Various spirits,Scotland,,BLENDED WHISKY,,,unmatched
Elements of Islay Pure Islay,elements of islay pure islay,elements of islay pure islay,data/books/yeni veriler/catalogue.csv,1,Blended (various Islay distilleries),Scotland – Islay,,BLENDED MALT,,,unmatched
Elijah Craig Small Batch Ryder Cup 94,elijah craig small batch ryder cup 94,elijah craig small batch ryder cup,data/books/yeni veriler/catalogue.csv,1,Heaven Hill Distillery - Elijah Craig,USA,,BOURBON,,,unmatched
Elijah Craig Straight Rye 94,elijah craig straight rye 94,elijah craig straight rye,data/books/yeni veriler/catalogue.csv,1,Heaven Hill Distillery - Elijah Craig,USA,,RYE WHISKY,,,unmatched
Finlaggan Original,finlaggan original,finlaggan original,data/books/yeni veriler/catalogue.csv,1,"Undisclosed (Islay, Scotland)",Scotland – Islay,,SINGLE MALT,,,unmatched
Four Roses Kentucky Straight Bourbon,four roses kentucky straight bourbon,four roses kentucky straight bourbon,data/books/yeni veriler/catalogue.csv,1,Four Roses Distillery - Four Roses,USA,,BOURBON,,,unmatched
Four Roses Single Barrel,four roses single barrel,four roses single barrel,data/books/yeni veriler/catalogue.csv,1,Four Roses Distillery - Four Roses,USA,,BOURBON,,,unmatched
Glen Moray Elgin Classic Chardonnay Cask Finish,glen moray elgin classic chardonnay cask finish,glen moray elgin classic chardonnay cask finish,data/books/yeni veriler/catalogue.csv,1,Glen Moray,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glen Moray Elgin Hearitage 12,glen moray elgin hearitage 12,glen moray elgin hearitage,data/books/yeni veriler/catalogue.csv,1,Glen Moray,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glen Moray Our Classic Smouth & Balanced,glen moray our classic smouth & balanced,glen moray our classic smouth balanced,data/books/yeni veriler/catalogue.csv,1,Glen Moray,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glen Moray Peated,glen moray peated,glen moray peated,data/books/yeni veriler/catalogue.csv,1,Glen Moray,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glen Moray Port Cask Finish,glen moray port cask finish,glen moray port cask finish,data/books/yeni veriler/catalogue.csv,1,Glen Moray,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glen Moray Sherry Cask Finish,glen moray sherry cask finish,glen moray sherry cask finish,data/books/yeni veriler/catalogue.csv,1,Glen Moray,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glen Scotia Campbeltown Harbour,glen scotia campbeltown harbour,glen scotia campbeltown harbour,data/books/yeni veriler/catalogue.csv,1,Glen Scotia,Scotland – Campbeltown,,SINGLE MALT,,,unmatched
Glen Turner Heritage,glen turner heritage,glen turner heritage,data/books/yeni veriler/catalogue.csv,1,Glen Moray distillery. No precise data available.,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Glenalba 19,glenalba 19,glenalba,data/books/yeni veriler/catalogue.csv,1,"Undisclosed distillery(Highlands, Scotland), bottler Clydesdale Scotland",Scotland,,BLENDED WHISKY,,,unmatched
Glenallachie 10 batch 10,glenallachie 10 batch 10,glenallachie batch,data/books/yeni veriler/catalogue.csv,1,Glenallachie,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenallachie 10 batch 12,glenallachie 10 batch 12,glenallachie batch,data/books/yeni veriler/catalogue.csv,1,Glenallachie,Scotland – Speyside,,SINGLE MALT,,,unmatched
GlenAllachie 11 Palo Cortado Sherry Cask Matured,glenallachie 11 palo cortado sherry cask matured,glenallachie palo cortado sherry cask matured,data/books/yeni veriler/catalogue.csv,1,Glenallachie,Scotland – Speyside,,SINGLE MALT,,,unmatched
GlenAllachie 8 - From the Valley of the Rocks,glenallachie 8 - from the valley of the rocks,glenallachie from the valley of the rocks,data/books/yeni veriler/catalogue.csv,1,Glenallachie,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenallachie 9 Rye Wood Finish,glenallachie 9 rye wood finish,glenallachie rye wood finish,data/books/yeni veriler/catalogue.csv,1,Glenallachie,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glendalough Pot Still Peated Irish Whiskey,glendalough pot still peated irish whiskey,glendalough pot still peated irish,data/books/yeni veriler/catalogue.csv,1,contract distillate (Ireland),Ireland,,SINGLE MALT,,,unmatched
Glenfarclas Heritage,glenfarclas heritage,glenfarclas heritage,data/books/yeni veriler/catalogue.csv,1,Glenfarclas,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenfiddich 18 Yeard Old Small Batch Limited Edition,glenfiddich 18 yeard old small batch limited edition,glenfiddich yeard old small batch,data/books/yeni veriler/catalogue.csv,1,Glenfiddich,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenfiddich 21 Year Old,glenfiddich 21 year old,glenfiddich old,data/input/whiskybase_export_sample.csv,1,Glenfiddich,Scotland,Speyside,Single Malt,21,40.0,unmatched
Glenfiddich Fire & Cane Experimental series #04,glenfiddich fire & cane experimental series #04,glenfiddich fire cane experimental series,data/books/yeni veriler/catalogue.csv,1,Glenfiddich,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenfiddich IPA Experimental series #01,glenfiddich ipa experimental series #01,glenfiddich ipa experimental series,data/books/yeni veriler/catalogue.csv,1,Glenfiddich,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenfiddich Orchard Experimental series #05,glenfiddich orchard experimental series #05,glenfiddich orchard experimental series,data/books/yeni veriler/catalogue.csv,1,Glenfiddich,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenfiddich Perpetual Collection VAT 01 Smooth & Mellow,glenfiddich perpetual collection vat 01 smooth & mellow,glenfiddich perpetual collection vat smooth mellow,data/books/yeni veriler/catalogue.csv,1,Glenfiddich,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenfiddich Perpetual Collection VAT 02 Rich & Dark,glenfiddich perpetual collection vat 02 rich & dark,glenfiddich perpetual collection vat rich dark,data/books/yeni veriler/catalogue.csv,1,Glenfiddich,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenfiddich Perpetual Collection VAT 03 Cumulative Time,glenfiddich perpetual collection vat 03 cumulative time,glenfiddich perpetual collection vat cumulative time,data/books/yeni veriler/catalogue.csv,1,Glenfiddich,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenfiddich Perpetual Collection VAT 04 Rich & Complex,glenfiddich perpetual collection vat 04 rich & complex,glenfiddich perpetual collection vat rich complex,data/books/yeni veriler/catalogue.csv,1,Glenfiddich,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenfiddich Project XX Experimental series #02,glenfiddich project xx experimental series #02,glenfiddich project xx experimental series,data/books/yeni veriler/catalogue.csv,1,Glenfiddich,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenfiddich Winter Storm Experimental series #03,glenfiddich winter storm experimental series #03,glenfiddich winter storm experimental series,data/books/yeni veriler/catalogue.csv,1,Glenfiddich,Scotland – Speyside,,SINGLE MALT,,,unmatched
Glenglassaugh Portsoy,glenglassaugh portsoy,glenglassaugh portsoy,data/books/yeni veriler/catalogue.csv,1,Glenglassaugh,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Glenmorangie X,glenmorangie x,glenmorangie x,data/books/yeni veriler/catalogue.csv,1,Glenmorangie,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Gold Bar Original Blended American Whiskey,gold bar original blended american whiskey,gold bar original blended american,data/books/yeni veriler/catalogue.csv,1,Blended American Whiskey. The distillates come mainly from the USA (Indiana/Kentucky/Canada – depending on the batch),USA,,BLENDED WHISKY,,,unmatched
Grant's Triple Wood,grant's triple wood,grant s triple wood,data/books/yeni veriler/catalogue.csv,1,Blended Whisky (The key grain component comes from the Girvan distillery),Scotland,,BLENDED WHISKY,,,unmatched
Greign 20,greign 20,greign,data/books/yeni veriler/catalogue.csv,1,An undisclosed distillery (Scotland) - most likely Macduff,Scotland – Highlands & Islands,,SINGLE GRAIN,,,unmatched
Hankey Bannister 12,hankey bannister 12,hankey bannister,data/books/yeni veriler/catalogue.csv,1,"Balblair, Speyburn, Pulteney, Knockdhu, Balmenach",Scotland,,BLENDED WHISKY,,,unmatched
Hibiki Suntory Whisky Japanese Harmony,hibiki suntory whisky japanese harmony,hibiki suntory whisky japanese harmony,data/books/yeni veriler/catalogue.csv,1,"Suntory: Yamazaki Distillery, Hakushu Distillery, Chita Distillery",Japan,,BLENDED WHISKY,,,unmatched
Highland Journey Blended Malt,highland journey blended malt,highland journey blended malt,data/books/yeni veriler/catalogue.csv,1,Blend (various distilleries from the Highlands),Scotland – Highlands & Islands,,BLENDED MALT,,,unmatched
Highland Park 15 Viking Heart Ceramic,highland park 15 viking heart ceramic,highland park viking heart ceramic,data/books/yeni veriler/catalogue.csv,1,Highland Park,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Highland Park 15 Viking Heart Glass,highland park 15 viking heart glass,highland park viking heart glass,data/books/yeni veriler/catalogue.csv,1,Highland Park,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Highland Park 18 Viking Pride,highland park 18 viking pride,highland park viking pride,data/books/yeni veriler/catalogue.csv,1,Highland Park,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Highland Park Cask Strength Release No. 1,highland park cask strength release no. 1,highland park cask strength release no,data/books/yeni veriler/catalogue.csv,1,Highland Park,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Highland Park Cask Strength Release No. 2,highland park cask strength release no. 2,highland park cask strength release no,data/books/yeni veriler/catalogue.csv,1,Highland Park,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Highland Park Cask Strength Release No. 3,highland park cask strength release no. 3,highland park cask strength release no,data/books/yeni veriler/catalogue.csv,1,Highland Park,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Highland Park Cask Strength Release No. 4,highland park cask strength release no. 4,highland park cask strength release no,data/books/yeni veriler/catalogue.csv,1,Highland Park,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Highland Park Cask Strength Release No. 5,highland park cask strength release no. 5,highland park cask strength release no,data/books/yeni veriler/catalogue.csv,1,Highland Park,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Hinch Peated 43,hinch peated 43,hinch peated,data/books/yeni veriler/catalogue.csv,1,A spirit from an unknown distillery (sourced),Northern Ireland,,SINGLE MALT,,,unmatched
Hinch Small Batch Blended,hinch small batch blended,hinch small batch,data/books/yeni veriler/catalogue.csv,1,Various spirits,Northern Ireland,,BLENDED WHISKY,,,unmatched
Ileach Cask Strength,ileach cask strength,ileach,data/books/yeni veriler/catalogue.csv,1,An undisclosed distillery (Islay),Scotland – Islay,,SINGLE MALT,,,unmatched
Indri Trini – The Three Wood Indian Single Malt,indri trini – the three wood indian single malt,indri trini the three wood indian,data/books/yeni veriler/catalogue.csv,1,Piccadilly Distillery - Indri,India,,SINGLE MALT,,,unmatched
Islay Mist The Original Peated Blend,islay mist the original peated blend,islay mist the original peated blend,data/books/yeni veriler/catalogue.csv,1,Various spirits (with significant involvement from the Laphroaig Distillery),Scotland,,BLENDED WHISKY,,,unmatched
Islay Storm NAS,islay storm nas,islay storm nas,data/books/yeni veriler/catalogue.csv,1,An undisclosed distillery (Islay),Scotland – Islay,,SINGLE MALT,,,unmatched
J.A.Baczewski,j.a.baczewski,j a baczewski,data/books/yeni veriler/catalogue.csv,1,Various spirits (Scotland),Austria,,BLENDED WHISKY,,,unmatched
Jack Daniel's Tennessee Straight Rye,jack daniel's tennessee straight rye,jack daniel s tennessee straight rye,data/books/yeni veriler/catalogue.csv,1,Jack Daniel's Distillery - Jack Daniel’s,USA,,RYE WHISKY,,,unmatched
Jameson Black Barrel,jameson black barrel,jameson black barrel,data/books/yeni veriler/catalogue.csv,1,Midleton Distillery - Jameson,Ireland,,BLENDED WHISKY,,,unmatched
Jameson Caskmates IPA Edtition,jameson caskmates ipa edtition,jameson caskmates ipa edtition,data/books/yeni veriler/catalogue.csv,1,Midleton Distillery - Jameson,Ireland,,BLENDED WHISKY,,,unmatched
Jameson Caskmates Stout Edtition,jameson caskmates stout edtition,jameson caskmates stout edtition,data/books/yeni veriler/catalogue.csv,1,Midleton Distillery - Jameson,Ireland,,BLENDED WHISKY,,,unmatched
Jameson Crested,jameson crested,jameson crested,data/books/yeni veriler/catalogue.csv,1,Midleton Distillery - Jameson,Ireland,,BLENDED WHISKY,,,unmatched
Jameson Triple Triple Irish Whiskey,jameson triple triple irish whiskey,jameson triple triple irish,data/books/yeni veriler/catalogue.csv,1,Midleton Distillery - Jameson,Ireland,,BLENDED WHISKY,,,unmatched
Jim Beam Rye - Pre-Prohibition Style,jim beam rye - pre-prohibition style,jim beam rye pre prohibition style,data/books/yeni veriler/catalogue.csv,1,Jim Beam Distillery - Jim Beam,USA,,RYE WHISKY,,,unmatched
Johnnie Walker Ultimate 18,johnnie walker ultimate 18,johnnie walker ultimate,data/books/yeni veriler/catalogue.csv,1,"Various distilleries. Distillates aged at least 18 years. Auchroisk, Blair Athol, Clynelish, Cardhu, Glen Elgin, czy Talisker",Scotland,,BLENDED WHISKY,,,unmatched
Jura 14 American Rye Cask,jura 14 american rye cask,jura american rye cask,data/books/yeni veriler/catalogue.csv,1,Isle of Jura Distillery - Jura,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Jura Journey,jura journey,jura journey,data/books/yeni veriler/catalogue.csv,1,Isle of Jura Distillery - Jura,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Jura Red Wine Cask Finish,jura red wine cask finish,jura red wine cask finish,data/books/yeni veriler/catalogue.csv,1,Isle of Jura Distillery - Jura,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Jura Rum Cask Finish,jura rum cask finish,jura rum cask finish,data/books/yeni veriler/catalogue.csv,1,Isle of Jura Distillery - Jura,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Jura Winter Edition,jura winter edition,jura winter edition,data/books/yeni veriler/catalogue.csv,1,Isle of Jura Distillery - Jura,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Kamet Single Malt,kamet single malt,kamet,data/books/yeni veriler/catalogue.csv,1,Piccadilly Distillery - Kamet,India,,SINGLE MALT,,,unmatched
Kilbeggan Small Batch Rye,kilbeggan small batch rye,kilbeggan small batch rye,data/books/yeni veriler/catalogue.csv,1,Kilbeggan Distillery - Kilbeggan,Ireland,,RYE WHISKY,,,unmatched
Kilbeggan Traditional Irish Whiskey,kilbeggan traditional irish whiskey,kilbeggan traditional irish,data/books/yeni veriler/catalogue.csv,1,Components distilled at Cooley Distillery,Ireland,,BLENDED WHISKY,,,unmatched
Kilchoman Batch Strength,kilchoman batch strength,kilchoman batch strength,data/books/yeni veriler/catalogue.csv,1,Kilchoman,Scotland – Islay,,SINGLE MALT,,,unmatched
Kilchoman Loch Gorm 2023 Release,kilchoman loch gorm 2023 release,kilchoman loch gorm 2023 release,data/books/yeni veriler/catalogue.csv,1,Kilchoman,Scotland – Islay,,SINGLE MALT,,,unmatched
Kilchoman Loch Gorm 2024 Release,kilchoman loch gorm 2024 release,kilchoman loch gorm 2024 release,data/books/yeni veriler/catalogue.csv,1,Kilchoman,Scotland – Islay,,SINGLE MALT,,,unmatched
Kilchoman Loch Gorm 2025 Release,kilchoman loch gorm 2025 release,kilchoman loch gorm 2025 release,data/books/yeni veriler/catalogue.csv,1,Kilchoman,Scotland – Islay,,SINGLE MALT,,,unmatched
Kilchoman Loch Gorm 2026 Release,kilchoman loch gorm 2026 release,kilchoman loch gorm 2026 release,data/books/yeni veriler/catalogue.csv,1,Kilchoman,Scotland – Islay,,SINGLE MALT,,,unmatched
Kilkerran Heavily Peated Batch 8,kilkerran heavily peated batch 8,kilkerran heavily peated batch,data/books/yeni veriler/catalogue.csv,1,Glengyle Distillery - Kilkerran,Scotland – Campbeltown,,SINGLE MALT,,,unmatched
