raw_name,norm_basic,norm_alias,classification,sources,mention_count,distillery_meta,owner,country,reason
Elixir Distillers,elixir distillers,elixir distillers,Brand,data/books/yeni veriler/brands.csv,1,—,Elixir Distillers,—,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Fercullen Irish Whiskey,fercullen irish whiskey,fercullen irish,Brand,data/books/yeni veriler/brands.csv,1,Powerscourt Distillery,Powerscourt Estate,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Finlaggan,finlaggan,finlaggan,Brand,data/books/yeni veriler/brands.csv,1,—,—,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Glen Stag,glen stag,glen stag,Brand,data/books/yeni veriler/brands.csv;data/books/yeni veriler/catalogue.csv,2,Various spirits,,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Glen Turner,glen turner,glen turner,Brand,data/books/yeni veriler/brands.csv,1,—,La Martiniquaise,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Glenalba,glenalba,glenalba,Brand,data/books/yeni veriler/brands.csv,1,—,ALDI,Germany,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Glendalough Irish,glendalough irish,glendalough irish,Brand,data/books/yeni veriler/brands.csv,1,Glendalough Distillery,Glendalough Distillery Ltd.,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Gold Bar,gold bar,gold bar,Brand,data/books/yeni veriler/brands.csv,1,—,Gold Bar Spirits Company,USA,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Gordon & MacPhail,gordon & macphail,gordon macphail,Brand,data/books/yeni veriler/brands.csv,1,—,Gordon & MacPhail,—,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Great Northern,great northern,great northern,Brand,data/books/yeni veriler/brands.csv,1,Great Northern Distillery,John Teeling,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Greign,greign,greign,Brand,data/books/yeni veriler/brands.csv,1,—,—,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Hankey Bannister,hankey bannister,hankey bannister,Brand,data/books/yeni veriler/brands.csv,1,—,Inver House Distillers,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Highland Journey,highland journey,highland journey,Brand,data/books/yeni veriler/brands.csv,1,—,Hunter Laing & Company,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Hikari,hikari,hikari,Brand,data/books/yeni veriler/brands.csv,1,Hikari Distillery,Hikari Shuzo Co.,Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Hunter Laing,hunter laing,hunter laing,Brand,data/books/yeni veriler/brands.csv,1,—,Hunter Laing & Company,—,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Ikawa,ikawa,ikawa,Brand,data/books/yeni veriler/brands.csv,1,Ikawa Distillery,Tokushu Tochi Co.,Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
"Ileach, The","ileach, the",ileach,Brand,data/books/yeni veriler/brands.csv,1,—,The Vintage Malt Whisky Company,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
"IrishAmerican, Achill Island Whiskey","irishamerican, achill island whiskey",irishamerican achill island,Brand,data/books/yeni veriler/brands.csv,1,Achill Island Distillery,Irish American Trading Company,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Islay Storm,islay storm,islay storm,Brand,data/books/yeni veriler/brands.csv,1,—,Elixir Distillers,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
J.A. Baczewski,j.a. baczewski,j a baczewski,Brand,data/books/yeni veriler/brands.csv,1,—,Altvater Gessler – J.A. Baczewski GmbH,Austria,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
John Dewar & Sons,john dewar & sons,john dewar sons,Brand,data/books/yeni veriler/brands.csv,1,—,Bacardi & Company Limited,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Kamet,kamet,kamet,Brand,data/books/yeni veriler/brands.csv,1,Piccadilly Distillery,Piccadily Agro Industries Limited,India,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Kamui Whisky,kamui whisky,kamui,Brand,data/books/yeni veriler/brands.csv,1,Rishiri Distillery,Kamui Whisky K.K.,Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Kawasaki Whisky,kawasaki whisky,kawasaki,Brand,data/books/yeni veriler/brands.csv,1,Kawasaki Distillery,Kirin Brewery Company (currently Kirin Holdings; historical owner),Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Kensei,kensei,kensei,Brand,data/books/yeni veriler/brands.csv,1,Iiyama Mountain Farm Distillery,"Kiyokawa Co., Ltd.",Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Killowen,killowen,killowen,Brand,data/books/yeni veriler/brands.csv,1,Killowen Distillery,Killowen Distillery Ltd.,Northern Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Kuju,kuju,kuju,Brand,data/books/yeni veriler/brands.csv,1,Kuju Distillery,"Kuju Distillery Co., Ltd.",Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Larceny,larceny,larceny,Brand,data/books/yeni veriler/brands.csv,1,Heaven Hill Distillery,"Heaven Hill Distilleries, Inc",USA,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Lauder's,lauder's,lauder s,Brand,data/books/yeni veriler/brands.csv,1,—,MacDuff International,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Lidl,lidl,lidl,Brand,data/books/yeni veriler/brands.csv,1,—,—,Germany,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
MacArthur’s,macarthur’s,macarthur s,Brand,data/books/yeni veriler/brands.csv,1,—,Inver House Distillers,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
MacNair’s,macnair’s,macnair s,Brand,data/books/yeni veriler/brands.csv,1,—,"GlenAllachie Distillers Co Limited, The",Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Matt D’Arcy,matt d’arcy,matt d arcy,Brand,data/books/yeni veriler/brands.csv,1,X (bottler),Matt D’Arcy & Co Ltd,Northern Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
May Loag,may loag,may loag,Brand,data/books/yeni veriler/brands.csv,1,—,Old Carrick Mill Ltd.,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Mossburn,mossburn,mossburn,Brand,data/books/yeni veriler/brands.csv,1,—,Mossburn Distillers,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Natterjack Irish Whiskey,natterjack irish whiskey,natterjack irish,Brand,data/books/yeni veriler/brands.csv,1,Gortinore Distillery,Gortinore Distillery Limited,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Niigata Kameda,niigata kameda,niigata kameda,Brand,data/books/yeni veriler/brands.csv,1,Niigata Kameda Distillery,Otani Corporation,Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Niseko,niseko,niseko,Brand,data/books/yeni veriler/brands.csv,1,Niseko Distillery,"Hakkaisan Brewery Co., Ltd.",Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Nukuda Whisky,nukuda whisky,nukuda,Brand,data/books/yeni veriler/brands.csv,1,Nukuda Brewery,Nukuda Brewery Co.,Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Okayama,okayama,okayama,Brand,data/books/yeni veriler/brands.csv,1,Okayama Distillery,"Miyashita Shuzo Co., Ltd.",Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Old Carrick Mill,old carrick mill,old carrick mill,Brand,data/books/yeni veriler/brands.csv,1,Old Carrick Mill Distillery,Old Carrick Mill Ltd.,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Old Mull,old mull,old mull,Brand,data/books/yeni veriler/brands.csv,1,—,Alexander Murray & Co.,—,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Omar Whisky,omar whisky,omar,Brand,data/books/yeni veriler/brands.csv,1,Nantou Distillery,TTL,Taiwan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Osuzuyama,osuzuyama,osuzuyama,Brand,data/books/yeni veriler/brands.csv,1,Osuzuyama Distillery,"Osuzuyama Distillery Co., Ltd. (Kuroki Honten Group)",Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Paprocky,paprocky,paprocky,Brand,data/books/yeni veriler/brands.csv,1,—,—,Poland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Peaky Blinder,peaky blinder,peaky blinder,Brand,data/books/yeni veriler/brands.csv,1,—,Sadler's Brewing Co.,England,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Pearse,pearse,pearse,Brand,data/books/yeni veriler/brands.csv,1,Pearse Lyons Distillery,Pearse Lyons Distillery,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Port Askaig,port askaig,port askaig,Brand,data/books/yeni veriler/brands.csv,1,—,Elixir Distillers,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Rittenhouse,rittenhouse,rittenhouse,Brand,data/books/yeni veriler/brands.csv,1,Heaven Hill Distillery,"Heaven Hill Distilleries, Inc",USA,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Roe & Co,roe & co,roe co,Brand,data/books/yeni veriler/brands.csv,1,Roe & Co Distillery,Diageo,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Rokkosan,rokkosan,rokkosan,Brand,data/books/yeni veriler/brands.csv,1,Rokkosan Distillery,"Rokkosan Distillery Co., Ltd.",Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Russell’s Reserve,russell’s reserve,russell s,Brand,data/books/yeni veriler/brands.csv,1,Wild Turkey Distillery,Campari Group,USA,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Saburomaru,saburomaru,saburomaru,Brand,data/books/yeni veriler/brands.csv,1,Wakatsuru Saburomaru Distillery,"Saburomaru; Wakatsuru Shuzo Co., Ltd.",Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Sam Barton,sam barton,sam barton,Brand,data/books/yeni veriler/brands.csv,1,—,La Martiniquaise,Canada,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Seven Seals,seven seals,seven seals,Brand,data/books/yeni veriler/brands.csv,1,Seven Seals Innovation AG,Seven Seals Innovation AG,Switzerland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Shiki Whisky,shiki whisky,shiki,Brand,data/books/yeni veriler/brands.csv,1,Shiki Shuzo,"Shiki Whisky; Shiki Shuzo Co., Ltd.",Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Signatory Vintage,signatory vintage,signatory vintage,Brand,data/books/yeni veriler/brands.csv,1,—,Signatory Vintage Scotch Whisky Co,—,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Singleton,singleton,singleton,Brand,data/books/yeni veriler/brands.csv,1,Dufftown,Diageo,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Speciality Drinks Ltd.,speciality drinks ltd.,speciality drinks ltd,Brand,data/books/yeni veriler/brands.csv,1,—,Elixir Distillers,—,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Stork Club,stork club,stork club,Brand,data/books/yeni veriler/brands.csv,1,Spreewood Distillers,Spreewood Distillers GmbH,Germany,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
The Deacon,the deacon,deacon,Brand,data/books/yeni veriler/brands.csv,1,—,Pernod Ricard,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
The Tyrconnell,the tyrconnell,tyrconnell,Brand,data/books/yeni veriler/brands.csv,1,Kilbeggan Distillery,Suntory Global Spirits,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Tipperary Whiskey,tipperary whiskey,tipperary,Brand,data/books/yeni veriler/brands.csv,1,Tipperary Boutique Distillery,Tipperary Boutique Distillery Ltd.,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Tullamore D.E.W.,tullamore d.e.w.,tullamore d e w,Brand,data/books/yeni veriler/brands.csv,1,Tullamore Distillery,William Grant & Sons,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
West Cork Irish Whiskey,west cork irish whiskey,west cork irish,Brand,data/books/yeni veriler/brands.csv,1,West Cork Distillers,West Cork Distillers,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Willett,willett,willett,Brand,data/books/yeni veriler/brands.csv,1,Willett Distillery,Kentucky Bourbon Distillers Ltd.,USA,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Yamaga,yamaga,yamaga,Brand,data/books/yeni veriler/brands.csv,1,Yamaga Distillery,"Komasa Jyozo Co., Ltd.",Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Yasato,yasato,yasato,Brand,data/books/yeni veriler/brands.csv,1,Yasato Distillery,Yasato Distillery Co.,Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Yoshida Denzai,yoshida denzai,yoshida denzai,Brand,data/books/yeni veriler/brands.csv,1,Yoshida Denzai Distillery,Yoshida Denzai Kogyo,Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Yushan,yushan,yushan,Brand,data/books/yeni veriler/brands.csv,1,—,TTL,Taiwan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Yuza,yuza,yuza,Brand,data/books/yeni veriler/brands.csv,1,Yuza Distillery,"Kinryu Co., Ltd.",Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Benromach Contrasts Bordeaux Finish,benromach contrasts bordeaux finish,benromach contrasts bordeaux finish,Unknown,data/input/manual_curated_tasting_notes_url_extract_draft.csv,1,,,,Could not classify confidently — manual review
