gsd_candidate_id,canonical_name,status,assigned_to,last_updated
GSD-CAND-0056,Blanton's Original Single Barrel,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0057,Pappy Van Winkle 15yo Family Reserve,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0058,George T Stagg,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0059,Wild Turkey 101,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0060,Woodford Reserve Distiller's Select,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0061,Four Roses Single Barrel,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0062,Maker's Mark,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0063,WhistlePig 10yo Rye,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0064,Rittenhouse Rye 100 Proof,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0065,Sazerac Rye 6yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0066,Jim Beam Black 8yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0067,Redbreast 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0068,Redbreast 15yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0069,Redbreast Lustau Edition,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0070,Green Spot,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0071,Teeling Single Malt,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0072,Waterford Gaia Edition 1.1,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0073,Dingle Single Malt Batch 5,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0074,Bushmills 16yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0075,Midleton Very Rare 2023,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0076,Teeling Small Batch,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0077,Amrut Fusion,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0078,Amrut Single Malt,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0079,Paul John Edited,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0080,Paul John Classic Select Cask,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0081,Crown Royal Northern Harvest Rye,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0082,Lot No 40 Rye,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0083,Forty Creek Confederation Oak,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0084,Canadian Club 100% Rye,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0085,Kavalan Solist Vinho Barrique,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0086,Kavalan Solist Ex-Bourbon,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0087,Kavalan Classic Single Malt,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0088,Kavalan Conductor,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0089,Mackmyra Brukswhisky,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0090,High Coast Dalvve 10yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0091,Penderyn Madeira Finish,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0092,Penderyn Icon of Wales,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0093,The English Whisky Chapter 6,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0094,Lakes The Whiskymaker's Reserve No6,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0095,Brenne Estate Cask,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0096,Bellevoye Bleu Triple Malt,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0097,Slyrs Bavarian Single Malt,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0098,Stauning Rye,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0099,Starward Nova,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0100,Starward Solera,PENDING_REVIEW,UNASSIGNED,
