smws_code,product_name,distillery,confidence_1,candidate_1,conflict_reason,ambiguous_type,null_distillery,recommended_action
72.12,Apricot Cream,,0.55,rich and rare,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
72.16,Sensual and Fecund,,0.55,Miltonduff SMWS 072.16 - Sensual and Fecund,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
73.12,Buttery Rum-n'-Raisin Fudge,,0.71,Aultmore SMWS 073.12 - Buttery Rum-n'-Raisin Fudge,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
73.18,Chocolate Smoke,,0.59,Aultmore SMWS 073.18 - Chocolate Smoke,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
73.67,,,,,no_link_in_production_db;no_fuzzy_candidate,D,TRUE,create_review
76.35,Cordite and Roasting Tins,,0.67,Mortlach SMWS 076.35 - Cordite and Roasting Tins,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
76.36,Dried Figs Stewed in Tea,,0.67,Mortlach SMWS 076.36 - Dried Figs Stewed in Tea,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
76.48,Jack & Jill and Jaffa Cakes,,0.67,Mortlach SMWS 076.48 - Jack & Jill and Jaffa Cakes,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
77.38,SPICY & SWEET,,0.52,Laphroaig Select Single Malt,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
77.9,A Tennis Court Whisky,,0.55,Glen Ord SMWS 077.9 - A Tennis Court Whisky,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
80.3,Christmas Cake,,0.57,Glen Spey SMWS 080.3 - Christmas Cake,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
90.8,Eve`s Pudding with Tinned Peaches,,0.72,Pittyvaich SMWS 090.8 - Eve`s Pudding with Tinned Peaches,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
91.19,No-nonsense Dram,,0.60,Dufftown SMWS 091.19 - No-nonsense Dram,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
93.13,Campbeltown Toast,,0.59,Glen Scotia SMWS 093.13 - Campbeltown Toast,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
99.9,Real Ale in Real Pubs,,0.64,Glenugie SMWS 099.9 - Real Ale in Real Pubs,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
100.8,"Highlands, Speyside (Strathisla)",,0.58,highland park cask strength heather,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
123.3,"Highlands, Southwest Highlands",,0.60,Highland Journey Blended Malt,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
123.4,"Highlands, Southwest Highlands",,0.60,Highland Journey Blended Malt,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
G3,CASK #G3,,,,no_link_in_production_db;no_fuzzy_candidate,D,TRUE,create_review
G4.6,,,,,no_link_in_production_db;no_fuzzy_candidate,D,TRUE,create_review
