code,distillery,country,region,type
96,GlenDronach,Scotland,Highland,Malt
97,Littlemill,Scotland,Lowland,Malt
98,Inverleven,Scotland,Lowland,Malt
99,Glenugie,Scotland,Highland,Malt
100,Strathmill,Scotland,Speyside,Malt
101,Knockando,Scotland,Speyside,Malt
102,Dalwhinnie,Scotland,Highland,Malt
103,Royal Lochnagar,Scotland,Highland,Malt
104,Glenburgie,Scotland,Speyside,Malt
105,Tormore,Scotland,Speyside,Malt
106,Cardhu,Scotland,Speyside,Malt
107,Glenallachie,Scotland,Speyside,Malt
108,Allt-a-Bhainne,Scotland,Speyside,Malt
109,Miltonduff,Scotland,Speyside,Malt
110,Oban,Scotland,Highland,Malt
111,Lagavulin,Scotland,Islay,Malt
112,Loch Lomond,Scotland,Highland,Malt
113,Braeval,Scotland,Speyside,Malt
114,Springbank,Scotland,Campbeltown,Malt
115,Knockdhu,Scotland,Speyside,Malt
116,Yoichi,Japan,Japan,Malt
117,Cooley,Ireland,Ireland,Malt
118,Connemara,Ireland,Ireland,Malt
119,Yamazaki,Japan,Japan,Malt
120,Hakushu,Japan,Japan,Malt
121,Isle of Arran,Scotland,Islands,Malt
122,Loch Lomond,Scotland,Highland,Malt
123,Glengoyne,Scotland,Highland,Malt
124,Miyagikyo,Japan,Japan,Malt
125,Glenmorangie,Scotland,Highland,Malt
126,Springbank,Scotland,Campbeltown,Malt
127,Bruichladdich,Scotland,Islay,Malt
128,Penderyn,Wales,Wales,Malt
129,Kilchoman,Scotland,Islay,Malt
130,Chichibu,Japan,Japan,Malt
131,Hanyu,Japan,Japan,Malt
132,Karuizawa,Japan,Japan,Malt
133,Westland,USA,Washington,Malt
134,Paul John,India,India,Malt
135,Loch Lomond,Scotland,Highland,Malt
136,Eden Mill,Scotland,Lowland,Malt
G1,North British,Scotland,Lowland,Grain
G2,Carsebridge,Scotland,Lowland,Grain
G3,Caledonian,Scotland,Lowland,Grain
G4,Cameronbridge,Scotland,Lowland,Grain
G5,Invergordon,Scotland,Highland,Grain
G6,Port Dundas,Scotland,Lowland,Grain
G7,Girvan,Scotland,Lowland,Grain
G8,Cambus,Scotland,Lowland,Grain
G9,Loch Lomond,Scotland,Highland,Grain
G10,Strathclyde,Scotland,Lowland,Grain
G11,Nikka Coffey Grain,Japan,Japan,Grain
G12,Nikka Coffey Malt,Japan,Japan,Grain
G13,Chita,Japan,Japan,Grain
G14,Dumbarton,Scotland,Lowland,Grain
G15,Loch Lomond,Scotland,Highland,Grain
G16,Glasgow Distillery,Scotland,Lowland,Grain
B1,Heaven Hill,USA,Kentucky,Bourbon
B2,New Bernheim,USA,Kentucky,Bourbon
B3,Rock Town,USA,Arkansas,Bourbon
B4,FEW Spirits,USA,Illinois,Bourbon
B5,George Dickel,USA,Tennessee,Bourbon
B6,Finger Lakes Distilling,USA,New York,Bourbon
B7,MGP,USA,Indiana,Bourbon
RW1,FEW Spirits,USA,Illinois,Rye
RW2,Finger Lakes Distilling,USA,New York,Rye
RW3,New York Distilling Co.,USA,New York,Rye
RW4,Peerless Distillery,USA,Kentucky,Rye
RW5,MGP,USA,Indiana,Rye
CW1,Heaven Hill Distillery,USA,Kentucky,Corn Whiskey
R1,Monymusk,Jamaica,Jamaica,Rum
R2,Demerara Distillers,Guyana,Guyana,Rum
R3,West Indies Rum,Barbados,Barbados,Rum
R4,Trinidad Distillers,Trinidad,Trinidad,Rum
R5,Long Pond,Jamaica,Jamaica,Rum
R6,Foursquare,Barbados,Barbados,Rum
R7,Hampden,Jamaica,Jamaica,Rum
R8,Compañía Licorera de Nicaragua,Nicaragua,Nicaragua,Rum
R9,Varela Hermanos,Panama,Panama,Rum
R10,Trinidad Distiller’s,Trinidad,Trinidad,Rum
R11,Worthy Park,Jamaica,Jamaica,Rum
R12,Travellers,Belize,Belize,Rum
R13,Caroni,Trinidad,Trinidad,Rum
R14,Uitvlugt,Guyana,Guyana,Rum
A1,Chateau de Lacaze,France,France,Armagnac
A2,Domaine Laguille,France,France,Armagnac
A3,J. Goudoulin,France,France,Armagnac
A4,Domaine d’Espérance,France,France,Armagnac
A5,Chateau de Laubade,France,France,Armagnac
A6,Domaine Lasalle,France,France,Armagnac
A7,Domaine Lasalle,France,France,Armagnac
A8,Domaine de Cavaillon,France,France,Armagnac
C1,Camus,France,France,Cognac
C2,Domaine de Chez Guérive,France,France,Cognac
C3,Louis Royer,France,France,Cognac
C4,Distillery D’Aumagne,France,France,Cognac
C5,Tiffon Cognac,France,France,Cognac
C6,M & H Bonneau,France,France,Cognac
C7,Guy Rateau,France,France,Cognac
C8,Marie C. Bodit,France,France,Cognac
C9,Robert Audebeau,France,France,Cognac
GN1,Glasgow Distillery Company,Scotland,Scotland,Grain
GN2,Strathearn Distillers,Scotland,Scotland,Grain
GN3,The Borders Distillery,Scotland,Scotland,Grain
GN4,Boatyard Distillery,Northern Ireland,Northern Ireland,Grain
GN5,Scottish Gin,Scotland,Scotland,Grain
GN6,Holyrood Distillery,Scotland,Scotland,Grain
