id,slug,lang,name,description,url,pdf,published_at,authors,type,country,region,distillery,bottler,age,abv,price_per_liter,flavour,rating_marcel,rating_sascha,rating_value_for_money
611,st-kilian-signature-edition-seventeen,en,St. Kilian Signature Edition Seventeen,"Rum meets smoke – sounds like a Caribbean bonfire, but it's actually the latest creation from Rüdenau. For the Signature Edition Seventeen, St. Kilian matured their spirit in Jamaican, Mexican, and Barbadian rum casks as well as rhum agricole casks, letting the peat smoke tag along for the ride. The result? A single malt that acts like it just returned from a beach holiday – sunglasses on, incense stick in the luggage.",/whisky-reviews/st-kilian-signature-edition-seventeen,/exports/pdf/st-kilian-signature-edition-seventeen.pdf,2026-04-11T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,St. Kilian,,0,54.6,99.8,peaty,86,86,4
610,st-kilian-exceptional-range-ex-mugi-shochu-mild,en,St. Kilian Exceptional Range ex Mugi Shochu – Mild,"With the Exceptional Range ex Mugi Shochu, St. Kilian ventures into uncharted territory: a single malt matured in an American white oak cask that previously held Japanese mugi shochu – likely one of the first bottlings of its kind outside Japan. The result is a delicate, perfumed-floral whisky that marries Far Eastern elegance with Franconian craftsmanship.",/whisky-reviews/st-kilian-exceptional-range-ex-mugi-shochu-mild,/exports/pdf/st-kilian-exceptional-range-ex-mugi-shochu-mild.pdf,2026-04-11T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,St. Kilian,,6,55.5,398,delicate,84,84,0
561,aberfeldy-25-year-old-2023,en,Aberfeldy 25 Year Old (2023) 125th Anniversary,"To celebrate the distillery's 125th anniversary in the heart of the Highlands, Aberfeldy has released a limited special edition. This 25-year-old single malt matured for over two decades in refill hogsheads and refill butts before receiving a finish of over a year in first-fill Oloroso sherry casks. Bottled without chill-filtration and without added colour at 46% – a worthy anniversary tribute.",/whisky-reviews/aberfeldy-25-year-old-2023,/exports/pdf/aberfeldy-25-year-old-2023.pdf,2026-04-10T18:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Highlands,Aberfeldy,,25,46,652.84,rich,87,86,3
151,st-kilian-rich-smoky,en,St. Kilian Rich & Smoky (2022),"The St. Kilian distillery from Franconia delivers the smoky counterpart to the Mild & Fruity with the Classic Rich & Smoky. Matured in a combination of 70% ex-bourbon and 30% PX and oloroso sherry casks, this single malt promises the marriage of sweet fruit and elegant smoke – and delivers on that promise convincingly.",/whisky-reviews/st-kilian-rich-smoky,/exports/pdf/st-kilian-rich-smoky.pdf,2026-04-09T06:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,St. Kilian,,0,46,57.14,peaty,76,76,5
139,st-kilian-mild-fruity,en,St. Kilian Mild & Fruity (2022),"The St. Kilian distillery from Franconia has quickly established itself as a mainstay in the German whisky landscape. The Classic Mild & Fruity is part of their core range and serves as many people's first introduction to the distillery – a light, approachable single malt that showcases what Franconian whisky has to offer.",/whisky-reviews/st-kilian-mild-fruity,/exports/pdf/st-kilian-mild-fruity.pdf,2026-04-08T06:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,St. Kilian,,0,46,44,mellow,72,72,5
608,invergordon-35-years-1987-2023-murray-mcdavid,en,Invergordon 35 Years (1987/2023) - Murray McDavid,Yet another 1987 vintage on the blog – Marcel's vintage seems to attract such bottles like magic. This Invergordon 35 Years from the Mission Gold series by Murray McDavid relies on a PX finish and presents itself as a Single Grain from the Highlands with a clear cask signature. The result is a mellow dram in which mature grain and aged sweetness are not allowed on stage alone.,/whisky-reviews/invergordon-35-years-1987-2023-murray-mcdavid,/exports/pdf/invergordon-35-years-1987-2023-murray-mcdavid.pdf,2026-04-07T17:48:07.996Z,"[""Marcel"", ""Sascha""]",Single Grain,Scotland,Highlands,Invergordon,Murray McDavid,35,48.1,231.27,mellow,79,77,3
607,benromach-11-years-2010-2022-contrasts-peat-smoke,en,Benromach 11 Years (2010/2022) Contrasts Peat Smoke,"The Benromach 11 Years (2010/2022) Contrasts Peat Smoke is an experimental single malt from Speyside, in which Benromach audibly turns up the use of peated barley. It was matured exclusively in first-fill bourbon casks; added to that are 57 ppm and a vintage design that refers to the once hand-painted sign above the kiln as well as the distillery's red gates. Sounds like a grand performance, but in the glass it would rather charmingly trip over its own shoelaces.",/whisky-reviews/benromach-11-years-2010-2022-contrasts-peat-smoke,/exports/pdf/benromach-11-years-2010-2022-contrasts-peat-smoke.pdf,2026-03-29T16:27:54.005Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Speyside,Benromach,,11,46,57.13,peaty,73,78,4
606,benromach-12-years-2012-2024-contrasts-high-enzyme,en,Benromach 12 Years (2012/2024) Contrasts High Enzyme,"Benromach 12 Years (2012/2024) Contrasts High Enzyme is a single malt from Speyside, made with enzyme-rich, unpeated barley. This raw material choice, otherwise more common for grain whisky, noticeably shapes the fermentation process and leads here to an independent, distinctive profile. In the glass, it shows a rather mild character, but one clearly focused on freshness, malt, and edgier accents.",/whisky-reviews/benromach-12-years-2012-2024-contrasts-high-enzyme,/exports/pdf/benromach-12-years-2012-2024-contrasts-high-enzyme.pdf,2026-03-28T16:11:18.593Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Speyside,Benromach,,12,46,57.13,mellow,75,76,4
605,benromach-9-years-2014-2024-contrasts-unpeated,en,Benromach 9 Years (2014/2024) Contrasts unpeated,"Benromach is primarily known for reviving a lightly peated Speyside style, but the Contrasts Unpeated deliberately shows the other side of the distillery. This nine-year-old single malt from Bourbon and Sherry casks comes in at 46 % vol. and clearly focuses on an unpeated, approachable aromatic profile.",/whisky-reviews/benromach-9-years-2014-2024-contrasts-unpeated,/exports/pdf/benromach-9-years-2014-2024-contrasts-unpeated.pdf,2026-03-27T19:00:54.972Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Speyside,Benromach,,9,46,57.13,delicate,80,82,5
604,kavalan-triple-sherry-cask-2021,en,Kavalan Triple Sherry Cask (2021),"Kavalan Triple Sherry Cask (2021) positions itself as a link between the standard bottlings and the single cask bottlings of the Taiwanese distillery. Matured in Oloroso, Pedro Ximénez, and Moscatel sherry casks, this single malt clearly focuses on a rich, sherry-driven profile. The design also points to its origin: the silver lines under the cork represent the mountain ranges around the distillery, while the water filtered through volcanic rock used forms the background of this bottling.",/whisky-reviews/kavalan-triple-sherry-cask-2021,/exports/pdf/kavalan-triple-sherry-cask-2021.pdf,2026-03-21T14:00:33.857Z,"[""Marcel"", ""Sascha""]",Single Malt,Taiwan,,Kavalan,,0,40,100,rich,83,80,2
603,black-forest-8-years-2014-2022-vom-fass,en,Black Forest 8 Years (2014/2022) - vom Fass,"German single malt from Destillerie Kammer-Kirsch + Rothaus, triple distilled and matured for 8 years in American Oak, ex-Marsala, and ex-Madeira casks.",/whisky-reviews/black-forest-8-years-2014-2022-vom-fass,/exports/pdf/black-forest-8-years-2014-2022-vom-fass.pdf,2026-03-16T15:53:27.819Z,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,Destillerie Kammer-Kirsch + Rothaus,vom Fass,8,41,104.45,rich,71,77,2
602,falken-5-years-2022,en,Falken 5 Years (2022),"Falken 5 Years (2022) is a German single malt from Farny Destillerie with 43% ABV, whose profile is strongly shaped by the idea of a “lager finish”: six months of alpine summering on the Falkenalpe are intended to bring topography and climate into the cask and ultimately into the glass. It matures for a total of five years in the distillery's casks and presents itself as a rather mild, unexcited representative with a regional mountain backdrop in tow – whether that is great alpine air or rather alpine marketing is something the glass may answer.",/whisky-reviews/falken-5-years-2022,/exports/pdf/falken-5-years-2022.pdf,2026-03-15T15:38:42.051Z,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,Farny Destillerie,,5,43,69.86,mellow,65,70,3
601,elsburn-rivesaltes-casks-batch-no-001,en,Elsburn Rivesaltes Casks - Batch No. 001,"The Elsburn Rivesaltes Casks Batch No. 001 is a German single malt from Hercynian Distilling Co. that draws its character from a sweet wine context rooted in Rivesaltes in L’Occitanie. In the glass, it presents itself as rich, sweet-fruity, and surprisingly approachable – exactly the kind of bottling that simply works without much fuss.",/whisky-reviews/elsburn-rivesaltes-casks-batch-no-001,/exports/pdf/elsburn-rivesaltes-casks-batch-no-001.pdf,2026-03-09T11:53:53.636Z,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,Hercynian Distilling Co.,,0,46,84.28,rich,80,80,3
600,tormore-10-years-blueprint-cream-sherry,en,Tormore 10 Years Blueprint Cream Sherry,"The Tormore 10 Years Blueprint Cream Sherry is the third candidate after the Toasted Barrel and the Bourbon Barrel – and we were correspondingly curious what the distillery would pull out of its sleeve this time. In the Speyside-typical “mellow” corner announced, however, there’s more of a dry edge here than a dessert glass.",/whisky-reviews/tormore-10-years-blueprint-cream-sherry,/exports/pdf/tormore-10-years-blueprint-cream-sherry.pdf,2026-03-08T10:46:55.952Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Speyside,Tormore,,10,48,85.7,mellow,75,73,3
599,ardbeg-10-years-cask-strength-2026,en,Ardbeg 10 Years Cask Strength (2026),"Today's notebook entry: Ardbeg 10 Years at cask strength – something the world has been waiting for, Marcel less so. An honest bourbon cask profile that keeps the focus on the distillery's core.",/whisky-reviews/ardbeg-10-years-cask-strength-2026,/exports/pdf/ardbeg-10-years-cask-strength-2026.pdf,2026-03-07T18:45:21.903Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Isle of Islay,Ardbeg,,10,61.7,124.12,peaty,85,87,4
597,thousand-mountains-2018-2022-ex-red-wine-ex-bourbon-in-ex-moscatel-finish-genussraum-paderborn,en,Thousand Mountains (2018/2022) Ex-Red Wine & Ex-Bourbon in Ex-Moscatel Finish - Genussraum Paderborn,"A Sauerland “Single Cask” that has seen three casks in four years – anyone who still believes in simple categories probably also believes in unicorns. That doesn't mean this isn't a genuine single cask, since the term is not regulated for German whisky, at least. But you're allowed to raise an eyebrow.",/whisky-reviews/thousand-mountains-2018-2022-ex-red-wine-ex-bourbon-in-ex-moscatel-finish-genussraum-paderborn,/exports/pdf/thousand-mountains-2018-2022-ex-red-wine-ex-bourbon-in-ex-moscatel-finish-genussraum-paderborn.pdf,2026-03-01T18:36:08.628Z,"[""Marcel"", ""Sascha""]",Whisky,Germany,,Thousand Mountains,,4,58,118,rich,81,80,3
598,tormore-10-years-blueprint-toasted-barrel,en,Tormore 10 Years Blueprint Toasted Barrel,"The Tormore 10 Years Blueprint Toasted Barrel is a single malt from Speyside, bottled at 48% vol. and limited to 1500 bottles. As part of the Blueprint Cask Program, it also serves as a preview of the newly designed Core Range for 2026.",/whisky-reviews/tormore-10-years-blueprint-toasted-barrel,/exports/pdf/tormore-10-years-blueprint-toasted-barrel.pdf,2026-02-28T17:33:36.742Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Speyside,Tormore,,10,48,85.7,delicate,78,77,3
596,longmorn-19-years-1996-2015-signatory-vintage,en,Longmorn 19 Years (1996/2015) - Signatory Vintage,This 19-year-old Longmorn from Signatory Vintage from the Cask Strength Collection comes from hogsheads (casks 97632 and 97633) and remains clearly on the non-smoky Speyside track. It is precisely this malt character that otherwise ends up in blends of the parent group Pernod Ricard/Chivas Brothers and shapes brands such as Ballantine’s or Chivas Regal.,/whisky-reviews/longmorn-19-years-1996-2015-signatory-vintage,/exports/pdf/longmorn-19-years-1996-2015-signatory-vintage.pdf,2026-02-27T16:59:44.542Z,"[""Marcel"", ""Sascha""]",Single Malt Whisky,Scotland,Speyside,Longmorn,Signatory Vintage,19,53.9,197.14,floral,87,86,3
592,glencadam-2006-2021-15-years,en,Glencadam 15 Years (2006/2021),"The Glencadam 2006/2021 is a 15-year-old single malt from the Scottish Highlands, which has been finished in port wine casks. Here, sweet and spicy notes come together, making it an interesting, albeit not overly exciting whisky.",/whisky-reviews/glencadam-2006-2021-15-years,/exports/pdf/glencadam-2006-2021-15-years.pdf,2026-02-25T19:10:48.412Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Highlands,Glencadam,,15,46,141.42,delicate,74,80,2
595,kavalan-solist-brandy-cask-2014-2021,en,Kavalan Solist Brandy Cask (2014/2021),"The Kavalan Solist Brandy Cask is an impressive single malt from Taiwan that has matured in a former brandy cask. With an alcohol content of 57.8%, it is not only strong but also a true explosion of flavor. Here, Asian exoticism meets European tradition – an exciting duel.",/whisky-reviews/kavalan-solist-brandy-cask-2014-2021,/exports/pdf/kavalan-solist-brandy-cask-2014-2021.pdf,2026-02-23T15:34:38.957Z,"[""Marcel"", ""Sascha""]",Single Malt,Taiwan,,Kavalan,,0,57.8,171.25,delicate,88,84,2
594,glenfiddich-ipa-experiment-2022,en,Glenfiddich IPA Experiment (2022),"The Glenfiddich IPA Experiment is a bold attempt by the Speyside distillery to combine whisky with the flavors of an India Pale Ale. Finished in casks that were previously used for craft beer, this single malt promises an interesting, albeit questionable, tasting experience.",/whisky-reviews/glenfiddich-ipa-experiment-2022,/exports/pdf/glenfiddich-ipa-experiment-2022.pdf,2026-02-22T11:04:10.736Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Speyside,Glenfiddich,,0,43,69.51,mellow,65,71,1
593,smokehead-15-years-2025-ian-mcleod,en,Smokehead 15 Years (2025) - Ian Mcleod,"The Smokehead 15 Years is a mysterious single malt from Islay, whose origin lies in the fog of uncertainty. Ian Macleod has created a character with this rebellious whisky that combines both the rugged coasts and the gentle aromas of the island. A delight for all those seeking something special – or simply a good reason to stick their nose in a glass.",/whisky-reviews/smokehead-15-years-2025-ian-mcleod,/exports/pdf/smokehead-15-years-2025-ian-mcleod.pdf,2026-02-21T14:52:57.635Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Isle of Islay,Unknown,Ian Macleod,15,43,105.71,peaty,75,81,3
591,bunnahabhain-2018-11-years-gordon-macphail,en,Bunnahabhain 11 Years (2018) - Gordon & MacPhail,"The Bunnahabhain 2018, bottled by Gordon & MacPhail, is a Scottish single malt from the Islay region. With its 11 years and an ABV of 43%, it presents itself as a gentle introduction for whisky newcomers, but also has some rough edges that make it interesting for experienced connoisseurs.",/whisky-reviews/bunnahabhain-2018-11-years-gordon-macphail,/exports/pdf/bunnahabhain-2018-11-years-gordon-macphail.pdf,2026-02-20T18:55:36.938Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Isle of Islay,Bunnahabhain,Gordon & MacPhail,11,43,84.29,mellow,73,78,2
590,ledaig-2006-2024-17-years-gordon-macphail,en,Ledaig 17 Years (2006/2024) - Gordon & MacPhail,"With Ledaig 2006/2024, Gordon & MacPhail once again demonstrates how much character a single cask can shape. This single malt from the Tobermory Distillery on the Isle of Mull matured for 17 years in a first fill sherry hogshead, bringing together maritime wildness and deep sherry richness. Not a crowd-pleasing easy sipper, but a whisky with edges, attitude, and a clear identity.",/whisky-reviews/ledaig-2006-2024-17-years-gordon-macphail,/exports/pdf/ledaig-2006-2024-17-years-gordon-macphail.pdf,2026-02-15T13:34:05.302Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Isle of Mull,Tobermory,Gordon & MacPhail,17,56.5,214.14,peaty,86,91,2
589,nc-nean-aon-amarone-2020-2025,en,Nc'Nean Aon Amarone (2020/2025),"Distilled in May 2020, this expression was initially matured in first-fill bourbon casks and subsequently finished in a single Amarone wine cask — a first for the distillery’s Aon series.",/whisky-reviews/nc-nean-aon-amarone-2020-2025,/exports/pdf/nc-nean-aon-amarone-2020-2025.pdf,2026-02-13T18:46:45.449Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Highlands,Nc'Nean,,0,59.3,133.28,delicate,85,85,3
588,talisker-2011-2020-9-years-hunter-laing,en,Talisker 9 Years (2011/2020) - Hunter Laing,"The Talisker 2011/2020, bottled by Hunter Laing, is a rare treasure from the Isle of Skye. With 9 years and a strong bottling of 50% vol., it promises an exciting tasting experience that challenges the expectations of whisky lovers.",/whisky-reviews/talisker-2011-2020-9-years-hunter-laing,/exports/pdf/talisker-2011-2020-9-years-hunter-laing.pdf,2026-02-08T16:00:08.214Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Isle of Skye,Talisker,Hunter Laing,9,50,141.42,spicy,74,83,3
587,daftmill-2006-2022-15-years,en,Daftmill 15 Years (2006/2022),"This 15-year-old single malt from the Lowlands offers a multifaceted tasting experience that can appeal to both beginners and experienced whisky lovers. With an alcohol content of 55.7%, it unfolds a smooth, almost creamy texture that envelops the senses and creates a harmonious balance between fruity sweetness and subtle complexities. The aromas of peach and citrus fruits are accompanied by a delicate vanilla note and a surprising dryness in the finish, adding an interesting depth to the experience. Despite the high alcohol content, it remains unobtrusive and elegant, making it a fine companion for relaxed moments.",/whisky-reviews/daftmill-2006-2022-15-years,/exports/pdf/daftmill-2006-2022-15-years.pdf,2026-01-26T21:15:47.673Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Lowlands,Daftmill,,15,55.7,321.29,delicate,80,78,0
586,tamnavulin-2013-2025-11-years-james-eadie,en,Tamnavulin 11 Years (2013/2025) - James Eadie,"This 11-year-old single malt from the Tamnavulin distillery presents an intense and rich aroma that immediately captivates. The complexity of the taste unfolds on the palate with a harmonious balance of fruity notes and a malty depth reminiscent of the cold season. The well-integrated sherry aromas add a classic touch to the experience, while the pleasant warmth in the finish gently caresses and creates space for subtle bitterness. A whisky that stimulates the senses and invites you to linger, even if it may lack that certain something to stand out from others.",/whisky-reviews/tamnavulin-2013-2025-11-years-james-eadie,/exports/pdf/tamnavulin-2013-2025-11-years-james-eadie.pdf,2026-01-24T18:40:20.174Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Speyside,Tamnavulin,James Eadie,11,57.4,114.14,rich,81,83,3
584,redbreast-21-years,en,Redbreast 21 Years,"Redbreast 21 Years Old is considered one of the most expressive bottlings in the Irish whiskey tradition. It is referred to as an Irish masterpiece, and for good reason.",/whisky-reviews/redbreast-21-years,/exports/pdf/redbreast-21-years.pdf,2026-01-18T10:21:30.594Z,"[""Marcel"", ""Sascha""]",Single Pot Still Whiskey,Ireland,,Midleton,,21,46,257.84,rich,88,89,0
585,benriach-21-years,en,BenRiach 21 Years,"This whisky offers a multifaceted tasting experience that combines earthy and fruity notes, complemented by a pleasant spiciness. The harmonious balance of mineral saltiness and sweet accents creates an elegant finish that underscores the complexity and accessibility of this Speyside.",/whisky-reviews/benriach-21-years,/exports/pdf/benriach-21-years.pdf,2026-01-11T17:04:09.664Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Speyside,BenRiach,,21,46,228.5,spicy,89,86,1
583,isle-of-jura-1994-2024-30-years-decadent-drinks,en,Isle of Jura 30 Years (1994/2024) - Decadent Drinks,"Immerse in a tasting experience that begins with a seductive variety of tropical fruits and fine vanilla, while complex spices caress the tongue and provide unexpected depth. Let the clear freshness in the finish carry you away, leaving a lasting impression despite its restraint and prompting reflection.",/whisky-reviews/isle-of-jura-1994-2024-30-years-decadent-drinks,/exports/pdf/isle-of-jura-1994-2024-30-years-decadent-drinks.pdf,2026-01-10T22:37:22.766Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Isle of Jura,Isle of Jura,Decadent Drinks,30,46,670,delicate,79,79,0
581,teeling-21-years-rising-reserve-no-4-white-wine-cask,en,Teeling 21 Years - Rising Reserve No. 4 - White Wine Cask,"Some whiskies do not captivate you loudly, but with quiet confidence. The Teeling 21 Years Rising Reserve No. 4 belongs precisely to this category. This Irish single malt tells a story of patience, cask craftsmanship and bold curiosity. In a short time, Teeling Distillery has earned a reputation for innovative maturation while consciously reconnecting with Ireland’s great whiskey heritage. After 18 years in American white oak ex-bourbon casks, this whisky received a three-year finish in white wine casks. This combination sets high expectations for elegance, depth and balance. Bottled at 46 percent ABV, it promises intensity without harshness and invites you to slow down and listen closely to what this cask has to say.",/whisky-reviews/teeling-21-years-rising-reserve-no-4-white-wine-cask,/exports/pdf/teeling-21-years-rising-reserve-no-4-white-wine-cask.pdf,2025-12-18T19:57:58+00:00,"[""Marcel"", ""Sascha""]",Single Malt Irish Whiskey,Ireland,,Teeling,,21,46,284.11,delicate,87,87,0
540,caol-ila-2011-2023-malts-of-scotland,en,Caol Ila (2011/2023) - Malts of Scotland,"The Caol Ila distillery on Islay is known for its accessible, clear smoky style – a welcome alternative to the island's more intense representatives. Independent bottler Malts of Scotland has selected a fascinating single cask with this 11-years bottling from 2011, which was released in 2023.",/whisky-reviews/caol-ila-2011-2023-malts-of-scotland,/exports/pdf/caol-ila-2011-2023-malts-of-scotland.pdf,2025-11-30T10:52:40+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Isle of Islay,Caol Ila,Malts of Scotland,11,47.5,82.86,spicy,78,81,0
