smws_code,product_name,distillery,bottler,candidate_1,confidence_1,candidate_2,confidence_2,candidate_3,confidence_3,conflict_reason,resolver_version,resolver_stage
7.40,Rich and Heady,Longmorn,,Longmorn SMWS 007.40 - Rich and Heady,0.76,longmorn 16yo,0.62,longmorn 15yo,0.62,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
8.35,Foxgloves and Spangles,Aberfeldy,,Tamdhu SMWS 008.35 - Foxgloves and Spangles,0.65,aberfeldy 12yo,0.52,aberfeldy 21yo,0.52,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
9.35,Fun Fair Food Stalls,Loch Lomond,,Glen Grant SMWS 009.35 - Fun Fair Food Stalls,0.64,loch lomond nas,0.64,loch lomond original,0.58,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
11.24,"Peat, Grass and Delicate Fruits",,,"Tomatin SMWS 011.24 - Peat, Grass and Delicate Fruits",0.72,natterjack the deliberate mistake,0.55,compass box delilah's,0.51,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
11.27,Floral Notes and Honey,,,Tomatin SMWS 011.27 - Floral Notes and Honey,0.64,Sailors Home,0.53,Hell's Stone,0.53,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
13.37,Peaches and Apricot Jam,Caperdonich,,Dalmore SMWS 013.37 - Peaches and Apricot Jam,0.63,copper fox peachwood american single malt,0.57,glendronach peated port wood,0.54,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
18.23,A Farmer's Friend,Inchgower,,Inchgower SMWS 018.23 - A Farmer's Friend,0.81,inchgower 14yo (f&f),0.56,high west american prairie,0.51,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
21.22,"Seaweed, Soap and a Bracing Breeze",Macallan,,"Glenglassaugh SMWS 021.22 - Seaweed, Soap and a Bracing Breeze",0.70,macallan select oak,0.55,macallan time:space mastery,0.54,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
21.26,Cotton Candy and Lipstick,Macallan,,Glenglassaugh SMWS 021.26 - Cotton Candy and Lipstick,0.65,macallan edition no. 5,0.59,macallan edition no. 3,0.59,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
22.10,Apples and Grapefruit,Glendullan,,Glenkinchie SMWS 022.10 - Apples and Grapefruit,0.67,glenmorangie a tale of cake,0.52,glenglassaugh octaves peated,0.50,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
26.39,A Surprising Explosion,Clynelish,,Clynelish SMWS 026.39 - A Surprising Explosion,0.83,clynelish 14yo,0.50,Clynelish 10 Year Old,0.48,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
27.56,Dried Japanese Seaweed in,Springbank,,"Springbank SMWS 027.56 - Dried Japanese Seaweed in
                a Varnished Boat",0.71,the last drop 20 year old japanese blended malt,0.55,ohisi sakura cask-finished japanese rice whisky,0.53,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
29.41,Mr. Hyde and Dr. Jekyll,Coleburn,,Laphroaig SMWS 029.41 - Mr. Hyde and Dr. Jekyll,0.58,Glen Turner Heritage,0.48,Mossburn Speyside Blended Malt,0.47,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
29.52,Lapsang Souchong Tea with Sweet Apples,Coleburn,,Laphroaig SMWS 029.52 - Lapsang Souchong Tea with Sweet Apples,0.72,"Glenmorangie SMWS 125.25 - like chew-
ing a toffee apple stick",0.46,Caol Ila SMWS 053.95 - Velvet Sweetness,0.46,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
30.46,Rich Fruits and Sherry,,,ohishi sherry cask,0.65,ohishi sherry single cask,0.65,hakushu sherry cask,0.62,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
36.32,An Ideal Curry Whisky,,,Eagle Rare,0.57,tidewalker bourbon,0.55,Wild Turkey,0.55,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
37.25,Fiery yet Floral,Cragganmore,,Cragganmore SMWS 037.25 - Fiery yet Floral,0.82,cragganmore 12yo,0.64,cragganmore 25yo,0.64,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
37.60,SPICY & SWEET,Cragganmore,,cragganmore 12yo,0.67,cragganmore 25yo,0.67,Cragganmore 12,0.65,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
37.64,"SW E E T, F R U I T Y & M E L LOW",Cragganmore,,Cragganmore SMWS 037.25 - Fiery yet Floral,0.56,"Cragganmore SMWS 37.45 - like the best of Thorn-
ton's",0.56,"Cragganmore SMWS 37.33 - Figs, Prunes and Dark Chocolate",0.53,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
37.75,"SW E E T, F R U I T Y & M E L LOW",Cragganmore,,Cragganmore SMWS 037.25 - Fiery yet Floral,0.56,"Cragganmore SMWS 37.45 - like the best of Thorn-
ton's",0.56,"Cragganmore SMWS 37.33 - Figs, Prunes and Dark Chocolate",0.53,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
39.43,"Like a Lime Rickey, Fresh and Clean",Strathmill,,"Linkwood SMWS 039.43 - Like a Lime Rickey, Fresh and Clean",0.70,bushmills sherry cask reserve,0.48,bushmills 46 year old secrets of the river bush,0.46,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
39.52,Linseed Oil on a Cricket Bat,Strathmill,,Linkwood SMWS 039.52 - Linseed Oil on a Cricket Bat,0.67,sentinel finished in whiskey del bac mesquite casks (batch 02),0.51,heaven hill select stock barrel,0.49,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
39.52,Linseed Oil on a Cricket Bat,Strathmill,,Linkwood SMWS 039.52 - Linseed Oil on a Cricket Bat,0.67,sentinel finished in whiskey del bac mesquite casks (batch 02),0.51,heaven hill select stock barrel,0.49,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
45.15,"Maraschino Cherries, Toffee",,,"Dallas Dhu SMWS 045.15 - Maraschino Cherries, Toffee
                and Fresh Butter",0.59,Jameson Crested,0.49,akashi 5 year old sherry cask,0.49,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
46.12,Prosutto and Leather Bags,,,Glenlossie SMWS 046.12 - Prosutto and Leather Bags,0.65,pendleton (let'er buck),0.52,parker’s heritage 1st,0.49,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
48.8,Fantastic Evolution,,,forty creek evolution,0.65,Balmenach SMWS 048.08 - Fantastic Evolution,0.63,glenglassaugh evolution,0.62,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
50.23,Spring Honey,,,Milk & Honey,0.64,springbank 10yo,0.59,springbank 18yo,0.59,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
50.62,,,,,,,,,,no_link_in_production_db;no_fuzzy_candidate,P127.5,AMBIGUOUS
50.62,,,,,,,,,,no_link_in_production_db;no_fuzzy_candidate,P127.5,AMBIGUOUS
52.14,Wet Bladderwack,,,Old Pulteney SMWS 052.14 - Wet Bladderwack,0.59,Daddy Rack,0.56,ardbeg blaaack,0.55,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
53.75,An Attack on The Taste Buds,Caol Ila,,Caol Ila SMWS 053.75 - An Attack on The Taste Buds,0.81,macallan time:space mastery,0.53,claxton's caol ila 9 year old str barrique,0.51,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
53.88,The Peat Genie,Caol Ila,,Caol Ila SMWS 053.88 - The Peat Genie,0.76,caol ila 15yo unpeated 2018,0.61,caol ila 17yo unpeated 2015,0.61,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
53.91,Pork Crackling in an Old Library,Caol Ila,,Caol Ila SMWS 053.91 - Pork Crackling in an Old Library,0.84,Highland Park 10 Viking Scars,0.50,colonel e.h. taylor straight rye,0.48,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
53.95,Velvet Sweetness,Caol Ila,,Caol Ila SMWS 053.95 - Velvet Sweetness,0.81,black velvet deluxe,0.55,caol ila distiller's edition (all editions),0.52,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
54.22,A Bag of Tricks,Teaninich,,teaninich 10yo (f&f),0.58,glenfiddich 14yo rich oak,0.53,teeling blackpitts,0.53,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
58.8,Sid Viscous,Bladnoch,,blandnoch pure scot,0.67,bladnoch samsara,0.61,bladnoch 10 year old,0.58,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
59.26,"Sweet, Buttery and Malty",,,"Teaninich SMWS 059.26 - Sweet, Buttery and Malty",0.63,That Boutique-y Whisky Company,0.52,the busker small batch,0.49,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
59.29,Honey and Lemons,,,Hanyu (silent),0.58,Macaloney's,0.52,Teaninich SMWS 059.29 - Honey and Lemons,0.52,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
59.32,A Mild Mannered Chameleon,,,Teaninich SMWS 059.32 - A Mild Mannered Chameleon,0.68,single malts of india marudham,0.51,milhòc première flamme single grain,0.51,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
62.8,Licorice and Fruit,,,Glenlochy SMWS 062.8 - Licorice and Fruit,0.57,Le Breuil,0.52,ancnoc rutter,0.52,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
64.11,Burnt Heather Dipped in Syrup,,,Mannochmore SMWS 064.11 - Burnt Heather Dipped in Syrup,0.68,nor'easter blended bourbon,0.50,amrut peated cask strength,0.47,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
64.60,,,,,,,,,,no_link_in_production_db;no_fuzzy_candidate,P127.5,AMBIGUOUS
64.60,,,,,,,,,,no_link_in_production_db;no_fuzzy_candidate,P127.5,AMBIGUOUS
69.13,A Schizophrenic,,,Glen Albyn SMWS 069.13 - A Schizophrenic,0.53,scapa skiren,0.48,Shizuoka,0.48,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
69.9,A Luxurious Holiday Dram,,,Glen Albyn SMWS 069.9 - A Luxurious Holiday Dram,0.67,teacher's highland cream,0.43,jura turas mara,0.43,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
72.12,Apricot Cream,,,rich and rare,0.55,amrut rye,0.55,prichard’s rye,0.54,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
72.16,Sensual and Fecund,,,Miltonduff SMWS 072.16 - Sensual and Fecund,0.55,smogen single cask (all editions),0.48,sea fog single malt,0.48,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
73.12,Buttery Rum-n'-Raisin Fudge,,,Aultmore SMWS 073.12 - Buttery Rum-n'-Raisin Fudge,0.71,Jura Rum Cask Finish,0.49,the busker single grain,0.47,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
73.18,Chocolate Smoke,,,Aultmore SMWS 073.18 - Chocolate Smoke,0.59,benromach peat smoke,0.57,ichiro's malt the joker,0.55,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
73.67,,,,,,,,,,no_link_in_production_db;no_fuzzy_candidate,P127.5,AMBIGUOUS
76.35,Cordite and Roasting Tins,,,Mortlach SMWS 076.35 - Cordite and Roasting Tins,0.67,the cardrona growing wings,0.60,Writers Tears,0.53,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
76.36,Dried Figs Stewed in Tea,,,Mortlach SMWS 076.36 - Dried Figs Stewed in Tea,0.67,rieger sweet mash,0.53,dry fly 3 year old cask strength wheat,0.49,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
76.48,Jack & Jill and Jaffa Cakes,,,Mortlach SMWS 076.48 - Jack & Jill and Jaffa Cakes,0.67,jack daniel's gentleman jack,0.53,Jack Daniel's,0.53,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
77.38,SPICY & SWEET,,,Laphroaig Select Single Malt,0.52,laphroaig select,0.52,High West,0.50,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
77.9,A Tennis Court Whisky,,,Glen Ord SMWS 077.9 - A Tennis Court Whisky,0.55,"Pyrenean Drinks Co., The",0.53,centennial 10yo,0.52,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
80.3,Christmas Cake,,,Glen Spey SMWS 080.3 - Christmas Cake,0.57,Chita,0.53,White Peak,0.50,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
90.8,Eve`s Pudding with Tinned Peaches,,,Pittyvaich SMWS 090.8 - Eve`s Pudding with Tinned Peaches,0.72,teeling single grain (wine cask finish),0.45,lohin mckinnon peated,0.45,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
91.19,No-nonsense Dram,,,Dufftown SMWS 091.19 - No-nonsense Dram,0.60,nc'nean cask strength cs mn21,0.50,the nikka nine decades,0.47,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
93.13,Campbeltown Toast,,,Glen Scotia SMWS 093.13 - Campbeltown Toast,0.59,Midleton NAS,0.55,Samuel Gelston's,0.55,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
99.9,Real Ale in Real Pubs,,,Glenugie SMWS 099.9 - Real Ale in Real Pubs,0.64,barrell single barrel (all barrels),0.55,barrell whiskey (all batches),0.54,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
100.8,"Highlands, Speyside (Strathisla)",,,highland park cask strength heather,0.58,highland park harald,0.57,mcclelland's speyside single malt,0.56,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
123.3,"Highlands, Southwest Highlands",,,Highland Journey Blended Malt,0.60,mcclelland's highland single malt,0.60,highland queen,0.56,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
123.4,"Highlands, Southwest Highlands",,,Highland Journey Blended Malt,0.60,mcclelland's highland single malt,0.60,highland queen,0.56,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
G3,CASK #G3,,,,,,,,,no_link_in_production_db;no_fuzzy_candidate,P127.5,AMBIGUOUS
G4.6,,,,,,,,,,no_link_in_production_db;no_fuzzy_candidate,P127.5,AMBIGUOUS
