original_file,recovered_path,size_bytes,md5_checksum,copy_status
output\import\18_production_import_plan_with_flavor.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\18_production_import_plan_with_flavor.csv,196,d9c127910d08350bf42559c80bc731d6,OK
output\import\19_flavor_profile_import_validation.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\19_flavor_profile_import_validation.csv,356,b0d176a30e605426911c21fdc1396be6,OK
output\import\20_flavor_119_vs_122_diff_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\20_flavor_119_vs_122_diff_report.txt,1229,bfed850f62bc90988b978d520de17a38,OK
output\import\21_flavor_extra_3_records.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\21_flavor_extra_3_records.csv,1786,e4f4e93c8182226a1ac0e3c5a9439550,OK
output\import\22_flavor_import_ready_cleaned.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\22_flavor_import_ready_cleaned.csv,63909,e4e33656d78be199c19b828210295c26,OK
output\import\23_flavor_import_ready_validation_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\23_flavor_import_ready_validation_report.txt,307,362e2acb6b0754c0ab37187cf887d9f0,OK
output\import\24_production_import_dry_run_final_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\24_production_import_dry_run_final_report.txt,752,199a4c200b3343da4151728be8bd8be2,OK
output\import\25_final_execute_readiness_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\25_final_execute_readiness_report.txt,408,1e96aaaa84a2388e53cf0498dc4dd099,OK
output\import\27_production_pre_execute_gate_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\27_production_pre_execute_gate_report.txt,779,53d53a1bedb842ed25f926d468791301,OK
output\import\28_execute_command_checklist.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\28_execute_command_checklist.txt,434,abe50cadbb5ca7fad4b438881f9c6cf5,OK
output\import\29_import_manifest_updated_with_whiskycom_distillery.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\29_import_manifest_updated_with_whiskycom_distillery.csv,697,55ae2d521484f6cf6df11fd70541afa4,OK
output\import\29_production_execute_report.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\29_production_execute_report.txt,273,66eac5493118ccb5f566888443d32761,OK
output\import\30_distillery_67_vs_55_schema_diff.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\30_distillery_67_vs_55_schema_diff.txt,516,277ee086175aaa2d9205e1efdc5af093,OK
output\import\30_production_post_import_counts.csv,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\30_production_post_import_counts.csv,70,c51edda5b2ebfd9a6e02c6236680ed40,OK
output\import\31_distillery_67_fk_readiness_check.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\31_distillery_67_fk_readiness_check.txt,382,cad8aa8678a000170ab3d93c1c63ad88,OK
output\import\31_production_post_import_fk_check.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\31_production_post_import_fk_check.txt,153,2a83d25fba4226d27721e20b333fee38,OK
output\import\32_production_import_dry_run_with_67_distillery.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\32_production_import_dry_run_with_67_distillery.txt,940,778cd20703dc6278c21d6040d6435335,OK
output\import\32_production_post_import_sample_queries.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\32_production_post_import_sample_queries.txt,1093,935567cdf2d0dcf22d2df164b15c8ec4,OK
output\import\33_pre_execute_gate_with_67_distillery.txt,C:\Users\eltun\Documents\malt radar\recovered_from_radiant_bardeen\output\import\33_pre_execute_gate_with_67_distillery.txt,634,6625db2fbcf6524f2769a9f92423b687,OK
